"","day","temp","dewp","wdsp","nrm"
"2",6,28.4,17.4,5.1,0.430379746835443
"3",7,34.3,28.9,4.9,0.367088607594937
"4",1,30.6,27.5,9.2,0.0278481012658228
"5",2,4.5,-5.8,11.3,0.0506329113924051
"6",3,9.2,1.6,8,0
"9",6,10.3,0.7,15,0.220253164556962
"10",7,8,-1.7,11.6,0.364556962025316
"11",1,27.7,16.7,10,0.369620253164557
"12",2,26.3,19.8,8.7,0.263291139240506
"13",3,19.3,10.8,9.1,0.275949367088608
"14",4,13.5,6.3,5.3,0.435443037974684
"15",5,23.5,15.9,9.1,0.658227848101266
"16",6,29.3,23.2,6,0.524050632911392
"17",7,36.8,28.6,12.1,0.60253164556962
"18",1,38.7,30.6,10.9,0.493670886075949
"19",2,34,28.6,4.5,0.518987341772152
"20",3,36.6,32.2,4.3,0.734177215189873
"21",4,34.2,30,7.2,0.612658227848101
"22",5,32.2,23.8,4.8,0.630379746835443
"23",6,31.7,24.3,10.2,0.751898734177215
"24",7,35.1,27.7,8.5,0.640506329113924
"25",1,34.1,30.2,10.3,0.362025316455696
"26",2,25.9,18.1,7.3,0.387341772151899
"27",3,29.3,22.5,6.1,0.435443037974684
"28",4,28.7,18.5,6.8,0.362025316455696
"29",5,36.1,26.1,12.7,0.506329113924051
"30",6,29.7,13.3,9.2,0.534177215189873
"31",7,30.3,20.6,6.5,0.336708860759494
"32",1,31.8,28.6,11.2,0.149367088607595
"34",3,16.7,10,7.5,0.020253164556962
"35",4,25.4,19.8,6.4,0.187341772151899
"36",5,11.4,0.2,7.1,0.174683544303797
"37",6,20.2,10.6,9.4,0.488607594936709
"38",7,33.6,27.1,7.2,0.445569620253165
"39",1,38.5,34.5,7.8,0.283544303797468
"40",2,29.3,24.6,13.4,0.263291139240506
"41",3,28.4,19.1,7.1,0.318987341772152
"42",4,32.6,24.3,10,0.260759493670886
"43",5,18.3,4.6,13.8,0.273417721518987
"44",6,14.5,3.9,8.4,0.326582278481013
"45",7,21.1,8.7,15.9,0.237974683544304
"46",1,7.3,-4.4,9.4,0.124050632911392
"47",2,12.8,-4.8,4.2,0.0860759493670886
"48",3,18.2,7.3,9.1,0.237974683544304
"49",4,9.6,-2.8,12.8,0.020253164556962
"51",6,7,-5,8.8,0.374683544303797
"52",7,23.4,13.5,6.3,0.377215189873418
"53",1,24.3,11.9,8.7,0.227848101265823
"54",2,7.7,-9.3,9.8,0.174683544303797
"55",3,13.9,2.1,12.6,0.316455696202532
"56",4,24.1,9.9,7.9,0.172151898734177
"57",5,20.2,12.3,11.5,0.0354430379746835
"58",6,10,-3.5,6.7,0.341772151898734
"59",7,11,-1.6,4.6,0.106329113924051
"60",1,22,15.9,5.1,0.643037974683544
"61",2,23.8,12.4,6.6,0.392405063291139
"62",3,30.7,22.9,10.6,0.336708860759494
"63",4,26.6,14.8,10.4,0.149367088607595
"64",5,15.2,-2.2,8.9,0.275949367088608
"65",6,14.7,3.4,10.4,0.529113924050633
"66",7,34.1,23.6,10.6,0.491139240506329
"67",1,37.1,28.2,6.7,0.308860759493671
"68",2,40,27.1,4.7,0.564556962025316
"69",3,43.9,38.1,6.2,0.632911392405063
"70",4,44.7,34.4,6.5,0.615189873417721
"71",5,44.9,27.7,6.5,0.627848101265823
"72",6,50.6,31.5,6.3,0.787341772151899
"73",7,52.5,38.6,8.2,0.746835443037975
"74",1,47.6,33.3,6.7,0.69620253164557
"75",2,61.3,39,11.7,0.69873417721519
"76",3,44.1,25.4,15,0.478481012658228
"77",4,38.8,14.2,4.3,0.473417721518987
"78",5,44.4,16.9,7.4,0.541772151898734
